"Gene"	"effect.size"	"p.value"	"q.value"
"ATCG00270"	"ATCG00270"	0.0941083682309786	2.00506278247303e-13	2.82431025607153e-11
"AT1G73120"	"AT1G73120"	0.0939316089404029	1.29896093881143e-13	1.8762491560409e-11
"AT5G54510"	"AT5G54510"	0.093362045234293	8.92371254668234e-08	7.01842983645351e-06
"AT3G25770"	"AT3G25770"	0.0912356708779989	3.03967917503201e-09	2.78427198581285e-07
"AT5G54060"	"AT5G54060"	0.0882716597878362	7.12161593396932e-06	0.000431374655484222
"AT1G11080"	"AT1G11080"	0.0870318905260902	1.59728215609611e-06	0.000108571821488126
"AT4G12510"	"AT4G12510"	0.0865290627668202	1.37667655053519e-12	1.75257924933387e-10
"AT5G53450"	"AT5G53450"	0.0854219047818153	2.12011630473796e-10	2.16655694760365e-08
"AT2G38530"	"AT2G38530"	0.0822360602800782	2.83650880561481e-12	3.46423051040209e-10
"AT5G23940"	"AT5G23940"	0.0822211708211008	7.97419164033641e-09	7.13025635840081e-07
"ATCG00280"	"ATCG00280"	0.0819929180655277	2.22480922573709e-11	2.57085262992481e-09
"ATCG00330"	"ATCG00330"	0.0807343638682801	3.29161142786916e-11	3.63577844628312e-09
"ATCG00720"	"ATCG00720"	0.0793230394179745	1.53402268665559e-09	1.45848663284432e-07
"AT1G74770"	"AT1G74770"	0.0773341639711019	9.9620240832099e-06	0.000584568460070231
"AT3G21510"	"AT3G21510"	0.0765318814918295	9.76253522466664e-11	1.04752002960673e-08
"AT3G07720"	"AT3G07720"	0.0758978931718487	1.94073201953415e-10	1.99682715050973e-08
"AT5G17220"	"AT5G17220"	0.0739265347078228	2.50055898209922e-09	2.3187282116725e-07
"AT1G11600"	"AT1G11600"	0.0738916992159668	3.68707089362097e-05	0.00192986686285624
"AT2G28790"	"AT2G28790"	0.0728794747795153	7.9646959028068e-08	6.29714009747177e-06
"AT3G45140"	"AT3G45140"	0.0707993770432501	1.04862225125402e-07	8.07815561966043e-06
"AT3G54040"	"AT3G54040"	0.0685214827396932	9.02867336449731e-10	8.75024072783733e-08
"ATCG00020"	"ATCG00020"	0.0669533366644678	5.97771276922288e-10	5.86909811890628e-08
"ATCG00490"	"ATCG00490"	0.0663047162079237	5.39613176364639e-09	4.88317417792145e-07
"ATCG00680"	"ATCG00680"	0.0620791777207541	1.12259035844886e-06	7.77122228784276e-05
"ATCG00120"	"ATCG00120"	0.0595058160975483	1.1409251931549e-05	0.00066173661202984
"AT4G11650"	"AT4G11650"	0.0568587079955406	1.26710889807313e-05	0.00072929156577987
"AT5G25980"	"AT5G25980"	0.0550906577722789	7.09954296462811e-08	5.70317296334992e-06
"AT5G01600"	"AT5G01600"	0.0547895682273772	2.70941391655732e-07	2.02491621166787e-05
"AT5G62210"	"AT5G62210"	0.0537239214684685	1.73719857121668e-06	0.000117550436652329
"AT5G64100"	"AT5G64100"	0.0532366073418085	5.47133488959517e-07	3.97055037253617e-05
"AT1G62560"	"AT1G62560"	0.0529211974380824	3.52991972571992e-05	0.00185407182236939
"AT1G18590"	"AT1G18590"	0.0515870363063214	2.85370084871506e-05	0.00151478071199285
"AT1G73260"	"AT1G73260"	0.0507795650864263	1.84180994484695e-05	0.0010362422843255
"AT1G06360"	"AT1G06360"	0.0480016580819316	4.20664262499315e-05	0.00218658081358641
"AT2G27385"	"AT2G27385"	0.0475126328680289	6.52356512331753e-06	0.000399987735846841
"AT4G12030"	"AT4G12030"	0.0472878999753471	2.40684672478952e-05	0.0013005630035895
"AT5G23010"	"AT5G23010"	0.0467289099986926	9.85429059163767e-06	0.000580514326539534
"AT3G50740"	"AT3G50740"	0.0457780725634725	1.94466378307112e-05	0.00107796086159758
"AT5G01870"	"AT5G01870"	0.0453981181837434	2.08177275500265e-05	0.00114972023256066
"AT5G04950"	"AT5G04950"	0.0443999020418324	8.42817955515329e-06	0.00050042732520756
"AT4G39940"	"AT4G39940"	0.0439659846654454	4.87893181767562e-05	0.00250141002611342
"ATMG00020"	"ATMG00020"	0.0432245061103749	2.15349977690238e-05	0.00118497705672628
"AT4G16260"	"AT4G16260"	0.0416431090373349	0.000114658025512027	0.00553824070495712
"AT3G58990"	"AT3G58990"	0.0415782948776986	7.78435731421112e-05	0.00387207336338011
"AT1G28290"	"AT1G28290"	0.0388277963537147	0.000148580579699242	0.00704093838562151
"AT2G42840"	"AT2G42840"	0.0371653857981411	8.27765408732972e-05	0.00410385873596921
"AT1G78370"	"AT1G78370"	0.0362323752641435	0.000103267494239945	0.00505304331749984
"AT4G02380"	"AT4G02380"	0.0360661245889248	0.000162793423745367	0.00761832651558535
